pair,support_models
collectionpoint::updatedetails,"['ChatGPT-o3', 'Gemini-2.5-Pro-Preview-05-06']"
notificationservice::sendnotification,"['Claude3.7', 'Llama4', 'Mistral']"
notificationservice::sendpasswordresetconfirmation,"['ChatGPT-o3', 'Grok3']"
notificationservice::sendpasswordresetemail,"['Claude3.7', 'Grok3']"
notificationservice::sendverificationemail,"['ChatGPT-o3', 'Claude3.7', 'Grok3', 'Qwen3']"
product::createlisting,"['ChatGPT-4o', 'Claude3.7']"
product::listproduct,"['Llama4', 'Mistral']"
product::publishlisting,"['Claude3.7', 'DeepSeek(R1)', 'Gemini-2.5-Pro-Preview-05-06']"
product::updatelisting,"['ChatGPT-4o', 'Claude3.7', 'Llama4']"
rolemanager::assignrole,"['ChatGPT-4o', 'ChatGPT-o3', 'Claude3.7', 'Llama4', 'Mistral', 'Qwen3']"
rolemanager::validateroletransition,"['Claude3.7', 'Llama4']"
searchfilter::applyfilters,"['DeepSeek(R1)', 'Qwen3']"
searchfilter::searchproducts,"['Llama4', 'Mistral']"
servicerequest::cancel,"['ChatGPT-o3', 'Llama4']"
servicerequest::cancelrequest,"['ChatGPT-4o', 'Claude3.7', 'Grok3', 'Mistral', 'Qwen3']"
servicerequest::schedule,"['Gemini-2.5-Pro-Preview-05-06', 'Llama4']"
useraccount::deactivateaccount,"['Grok3', 'Llama4', 'Mistral', 'Qwen3']"
useraccount::lockaccount,"['ChatGPT-4o', 'Gemini-2.5-Pro-Preview-05-06', 'Mistral', 'Qwen3']"
useraccount::registeruser,"['Llama4', 'Mistral']"
useraccount::verifyemail,"['Llama4', 'Mistral']"
usercredentials::generatepasswordresettoken,"['ChatGPT-o3', 'Gemini-2.5-Pro-Preview-05-06', 'Qwen3']"
usercredentials::resetpassword,"['ChatGPT-4o', 'ChatGPT-o3', 'Claude3.7', 'Llama4']"
usercredentials::updatepassword,"['DeepSeek(R1)', 'Qwen3']"
usercredentials::validatecredentials,"['ChatGPT-4o', 'Claude3.7', 'DeepSeek(R1)']"
usercredentials::validatepasswordstrength,"['ChatGPT-o3', 'DeepSeek(R1)']"
userprofile::updateprofile,"['Claude3.7', 'Llama4', 'Mistral']"
userprofile::updateprofiledetails,"['Gemini-2.5-Pro-Preview-05-06', 'Qwen3']"
userprofile::verifyemail,"['ChatGPT-4o', 'Claude3.7', 'Qwen3']"
wastejourney::canceljourney,"['Claude3.7', 'Gemini-2.5-Pro-Preview-05-06']"
wastejourney::completejourney,"['Claude3.7', 'Gemini-2.5-Pro-Preview-05-06']"
